 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1861,470,255,255,255,25.931,23.078,112.216,0.921,1.124,0.890,0.947
1862,376,255,255,255,23.922,20.012,69.711,0.915,1.195,0.837,0.940
1863,392,255,255,255,24.234,20.596,79.477,0.889,1.177,0.850,0.939
1864,495,255,255,255,27.168,23.198,97.617,0.923,1.171,0.854,0.949
1865,318,255,255,255,21.932,18.461,161.233,0.847,1.188,0.842,0.919
1866,401,255,255,255,23.223,21.985,101.627,0.910,1.056,0.947,0.939
1867,233,255,255,255,19.472,15.236,3.133,0.831,1.278,0.782,0.901
1868,417,255,255,255,24.670,21.522,104.005,0.897,1.146,0.872,0.940
1869,419,255,255,255,25.000,21.340,103.523,0.936,1.172,0.854,0.952
1870,404,255,255,255,23.751,21.658,66.393,0.894,1.097,0.912,0.938
1871,494,255,255,255,27.037,23.264,70.605,0.885,1.162,0.860,0.942
1872,404,255,255,255,23.995,21.437,130.140,0.946,1.119,0.893,0.951
1873,332,255,255,255,22.018,19.199,80.394,0.922,1.147,0.872,0.938
1874,430,255,255,255,26.143,20.942,11.627,0.925,1.248,0.801,0.950
1875,381,255,255,255,23.390,20.740,98.218,0.898,1.128,0.887,0.932
1876,473,255,255,255,26.766,22.500,86.578,0.919,1.190,0.841,0.952
1877,486,255,255,255,27.020,22.902,106.989,0.912,1.180,0.848,0.952
1878,484,255,255,255,25.445,24.219,33.766,0.916,1.051,0.952,0.947
1879,336,255,255,255,21.279,20.105,54.194,0.940,1.058,0.945,0.942
1880,498,255,255,255,26.218,24.184,30.488,0.916,1.084,0.922,0.948
1881,364,255,255,255,22.147,20.926,177.513,0.944,1.058,0.945,0.948
1882,298,255,255,255,22.326,16.995,0.275,0.817,1.314,0.761,0.920
1883,355,255,255,255,22.561,20.034,69.997,0.864,1.126,0.888,0.914
1884,483,255,255,255,26.319,23.366,42.336,0.876,1.126,0.888,0.944
1885,350,255,255,255,24.018,18.554,125.620,0.887,1.294,0.773,0.932
1886,465,255,255,255,27.512,21.520,129.853,0.853,1.278,0.782,0.948
1887,295,255,255,255,20.884,17.985,175.714,0.881,1.161,0.861,0.964
1888,412,255,255,255,23.913,21.937,2.650,0.920,1.090,0.917,0.948
1889,382,255,255,255,25.009,19.448,93.487,0.878,1.286,0.778,0.950
1890,435,255,255,255,25.893,21.390,115.849,0.916,1.211,0.826,0.948
1891,438,255,255,255,25.074,22.242,40.788,0.916,1.127,0.887,0.943
1892,460,255,255,255,27.605,21.217,54.402,0.888,1.301,0.769,0.939
1893,338,255,255,255,21.496,20.020,161.308,0.920,1.074,0.931,0.952
1894,498,255,255,255,28.916,21.928,78.953,0.885,1.319,0.758,0.941
1895,468,255,255,255,27.343,21.793,139.725,0.923,1.255,0.797,0.951
1896,479,255,255,255,27.628,22.075,101.530,0.891,1.252,0.799,0.948
1897,404,255,255,255,23.443,21.942,7.208,0.937,1.068,0.936,0.952
1898,454,255,255,255,25.803,22.403,88.561,0.922,1.152,0.868,0.946
1899,450,255,255,255,25.231,22.708,13.955,0.945,1.111,0.900,0.963
1900,382,255,255,255,24.193,20.104,152.639,0.907,1.203,0.831,0.949
1901,468,255,255,255,25.397,23.462,116.526,0.911,1.082,0.924,0.945
1902,420,255,255,255,24.472,21.852,133.251,0.918,1.120,0.893,0.944
1903,491,255,255,255,28.677,21.800,46.739,0.873,1.315,0.760,0.937
1904,485,255,255,255,25.539,24.179,34.555,0.910,1.056,0.947,0.946
1905,480,255,255,255,26.545,23.023,168.882,0.903,1.153,0.867,0.938
1906,495,255,255,255,28.281,22.286,143.705,0.929,1.269,0.788,0.957
1907,470,255,255,255,26.946,22.209,45.165,0.902,1.213,0.824,0.944
1908,427,255,255,255,25.542,21.285,66.291,0.897,1.200,0.833,0.949
1909,390,255,255,255,25.346,19.592,63.241,0.885,1.294,0.773,0.935
1910,475,255,255,255,26.194,23.089,70.431,0.950,1.134,0.881,0.959
1911,439,255,255,255,25.335,22.063,97.683,0.916,1.148,0.871,0.947
1912,395,255,255,255,23.133,21.741,57.452,0.852,1.064,0.940,0.934
1913,412,255,255,255,24.551,21.367,130.819,0.898,1.149,0.870,0.956
1914,476,255,255,255,30.337,19.978,111.558,0.796,1.519,0.659,0.921
1915,412,255,255,255,25.349,20.694,123.217,0.873,1.225,0.816,0.933
1916,471,255,255,255,31.263,19.182,22.855,0.849,1.630,0.614,0.944
1917,261,255,255,255,22.122,15.022,117.804,0.858,1.473,0.679,0.916
1918,386,255,255,255,25.651,19.160,167.787,0.895,1.339,0.747,0.940
1919,401,255,255,255,24.766,20.616,163.192,0.916,1.201,0.832,0.945
1920,428,255,255,255,24.610,22.143,161.116,0.888,1.111,0.900,0.949
1921,423,255,255,255,24.609,21.886,153.971,0.918,1.124,0.889,0.941
1922,23,255,255,255,5.836,5.018,37.892,0.992,1.163,0.860,0.958
1923,476,255,255,255,27.385,22.131,145.877,0.841,1.237,0.808,0.932
1924,421,255,255,255,26.709,20.070,94.716,0.879,1.331,0.751,0.944
1925,406,255,255,255,24.049,21.495,179.693,0.942,1.119,0.894,0.955
1926,455,255,255,255,27.983,20.703,168.267,0.842,1.352,0.740,0.931
1927,387,255,255,255,22.802,21.610,118.255,0.927,1.055,0.948,0.943
1928,499,255,255,255,30.836,20.604,31.394,0.870,1.497,0.668,0.946
1929,412,255,255,255,25.128,20.876,119.828,0.935,1.204,0.831,0.957
1930,402,255,255,255,24.598,20.809,140.396,0.904,1.182,0.846,0.951
1931,396,255,255,255,25.010,20.160,131.876,0.907,1.241,0.806,0.937
1932,420,255,255,255,24.338,21.973,109.642,0.898,1.108,0.903,0.939
1933,447,255,255,255,26.192,21.729,137.983,0.881,1.205,0.830,0.930
1934,392,255,255,255,23.805,20.967,161.408,0.939,1.135,0.881,0.949
1935,386,255,255,255,23.538,20.880,152.841,0.919,1.127,0.887,0.947
1936,384,255,255,255,22.451,21.777,129.305,0.899,1.031,0.970,0.932
1937,435,255,255,255,25.690,21.560,16.954,0.894,1.192,0.839,0.943
1938,374,255,255,255,24.015,19.829,122.365,0.896,1.211,0.826,0.937
1939,406,255,255,255,28.284,18.277,127.617,0.842,1.548,0.646,0.935
1940,458,255,255,255,27.674,21.072,171.613,0.922,1.313,0.761,0.956
1941,445,255,255,255,24.422,23.200,15.382,0.909,1.053,0.950,0.945
1942,412,255,255,255,23.862,21.983,108.374,0.914,1.085,0.921,0.941
1943,457,255,255,255,30.115,19.322,36.974,0.860,1.559,0.642,0.941
1944,459,255,255,255,24.552,23.804,5.710,0.839,1.031,0.970,0.925
1945,464,255,255,255,26.189,22.558,150.088,0.830,1.161,0.861,0.915
1946,417,255,255,255,26.174,20.285,60.754,0.878,1.290,0.775,0.943
1947,472,255,255,255,26.514,22.666,120.940,0.875,1.170,0.855,0.941
1948,435,255,255,255,26.437,20.951,77.620,0.870,1.262,0.792,0.938
1949,396,255,255,255,24.053,20.962,51.693,0.884,1.147,0.871,0.930
1950,494,255,255,255,26.125,24.076,79.055,0.873,1.085,0.922,0.928
1951,492,255,255,255,26.452,23.682,59.451,0.894,1.117,0.895,0.939
1952,459,255,255,255,24.954,23.420,75.979,0.894,1.066,0.938,0.930
1953,415,255,255,255,25.626,20.620,98.884,0.879,1.243,0.805,0.940
1954,469,255,255,255,25.375,23.533,95.567,0.887,1.078,0.927,0.938
1955,483,255,255,255,29.509,20.840,138.607,0.871,1.416,0.706,0.941
1956,393,255,255,255,23.747,21.072,63.343,0.920,1.127,0.887,0.940
1957,484,255,255,255,25.633,24.041,97.180,0.921,1.066,0.938,0.950
1958,421,255,255,255,24.564,21.822,131.365,0.940,1.126,0.888,0.954
1959,483,255,255,255,26.611,23.110,172.236,0.901,1.151,0.868,0.940
1960,383,255,255,255,23.139,21.075,126.287,0.918,1.098,0.911,0.941
1961,471,255,255,255,25.475,23.540,166.741,0.923,1.082,0.924,0.947
1962,421,255,255,255,25.330,21.162,151.294,0.926,1.197,0.835,0.952
1963,437,255,255,255,25.203,22.077,127.887,0.869,1.142,0.876,0.932
1964,493,255,255,255,27.122,23.144,162.190,0.899,1.172,0.853,0.950
1965,423,255,255,255,25.606,21.033,40.677,0.924,1.217,0.821,0.947
1966,475,255,255,255,25.979,23.280,141.129,0.917,1.116,0.896,0.943
1967,457,255,255,255,25.964,22.411,8.766,0.914,1.159,0.863,0.946
1968,389,255,255,255,25.178,19.671,80.483,0.902,1.280,0.781,0.944
1969,433,255,255,255,24.905,22.137,33.563,0.874,1.125,0.889,0.931
1970,403,255,255,255,23.753,21.602,58.021,0.894,1.100,0.909,0.928
1971,480,255,255,255,25.941,23.559,98.663,0.890,1.101,0.908,0.933
1972,369,255,255,255,22.747,20.655,114.351,0.926,1.101,0.908,0.953
1973,358,255,255,255,22.112,20.614,12.381,0.866,1.073,0.932,0.912
1974,481,255,255,255,27.236,22.486,44.345,0.897,1.211,0.826,0.951
1975,269,255,255,255,21.045,16.275,44.333,0.851,1.293,0.773,0.917
1976,384,255,255,255,25.034,19.530,19.755,0.891,1.282,0.780,0.938
1977,452,255,255,255,27.550,20.889,101.749,0.873,1.319,0.758,0.936
1978,471,255,255,255,25.805,23.240,39.624,0.923,1.110,0.901,0.952
1979,446,255,255,255,26.247,21.635,97.586,0.892,1.213,0.824,0.947
1980,425,255,255,255,25.643,21.102,91.876,0.920,1.215,0.823,0.951
1981,365,255,255,255,24.409,19.039,151.219,0.817,1.282,0.780,0.918
1982,441,255,255,255,25.282,22.209,93.678,0.934,1.138,0.878,0.954
1983,498,255,255,255,28.083,22.579,34.306,0.905,1.244,0.804,0.947
1984,420,255,255,255,25.684,20.820,103.068,0.877,1.234,0.811,0.952
1985,323,255,255,255,21.987,18.705,23.580,0.864,1.175,0.851,0.950
1986,459,255,255,255,27.130,21.542,164.467,0.886,1.259,0.794,0.940
1987,419,255,255,255,24.530,21.748,78.335,0.942,1.128,0.887,0.961
1988,389,255,255,255,23.031,21.505,88.426,0.911,1.071,0.934,0.936
1989,440,255,255,255,24.233,23.118,163.736,0.932,1.048,0.954,0.950
1990,317,255,255,255,21.046,19.178,104.432,0.903,1.097,0.911,0.932
1991,339,255,255,255,22.442,19.233,138.157,0.879,1.167,0.857,0.933
1992,385,255,255,255,23.736,20.652,90.475,0.860,1.149,0.870,0.928
1993,479,255,255,255,27.523,22.159,83.773,0.936,1.242,0.805,0.966
1994,478,255,255,255,26.514,22.954,121.847,0.867,1.155,0.866,0.937
1995,470,255,255,255,25.115,23.828,78.307,0.915,1.054,0.949,0.940
1996,318,255,255,255,21.729,18.634,162.970,0.837,1.166,0.858,0.941
1997,426,255,255,255,25.710,21.097,132.867,0.823,1.219,0.821,0.926
1998,465,255,255,255,25.288,23.412,58.203,0.925,1.080,0.926,0.946
